MTH,WRKDATE,YR,DIV,DIV_NAME,TYPE,TASK,WO,CRTDAT,EQ,FCT,LINE,SHOP,TRADE,HRS,period,perno,CRTYR,CRTMTH
4,14-04-16,2014,101,Cascades EC - Kingsey Falls,CA,          ,1410615   ,1140318,DEV142-M       ,DEV142                        ,DPAT      ,SINST,MECA,4.5,2014-04,74,2014,03
4,14-04-15,2014,101,Cascades EC - Kingsey Falls,CA,          ,1410615   ,1140318,DEV142-M       ,DEV142                        ,DPAT      ,SINST,MECA,1,2014-04,74,2014,03
4,14-04-15,2014,101,Cascades EC - Kingsey Falls,CA,          ,1410615   ,1140318,DEV142-M       ,DEV142                        ,DPAT      ,SINST,MECA,2,2014-04,74,2014,03
4,14-04-11,2014,123,Cascades Forma-Pak,C3,          ,1410622   ,1140318,ITEM-2403      ,MMAGA115                      ,SMAGA     ,SINST,MECA,2,2014-04,74,2014,03
4,14-04-01,2014,161,Cascades Groupe Tissu KF Mac 1,CA,          ,1410696   ,1140319,BAT0021        ,IBATI101                      ,ILIC1     ,SELEC,MOTEUR,1.5,2014-04,74,2014,03
4,14-04-01,2014,161,Cascades Groupe Tissu KF Mac 1,CA,          ,1410696   ,1140319,BAT0021        ,IBATI101                      ,ILIC1     ,SELEC,MOTEUR,1.5,2014-04,74,2014,03
3,14-03-31,2014,161,Cascades Groupe Tissu KF Mac 1,C3,          ,1410696-01,1140321,BAT0021        ,IBATI101                      ,ILIC1     ,SELEC,MOTEUR,2,2014-03,69,2014,03
3,14-03-26,2014,118,Cascades Canada - Trait. eaux,C3,          ,1410728   ,1140319,M-200-090      ,TCOMP004                      ,TUSINE    ,SELEC,MOTEUR,2,2014-03,69,2014,03
5,14-05-14,2014,123,Cascades Forma-Pak,C3,          ,1410736   ,1140319,M-010-050      ,MMAGA115                      ,SMAGA     ,SINST,MECA,3,2014-05,65,2014,03
4,14-04-29,2014,123,Cascades Forma-Pak,C3,          ,1410736   ,1140319,M-010-050      ,MMAGA115                      ,SMAGA     ,SELEC,MOTEUR,2,2014-04,74,2014,03
4,14-04-28,2014,123,Cascades Forma-Pak,C3,          ,1410736   ,1140319,M-010-050      ,MMAGA115                      ,SMAGA     ,SELEC,MOTEUR,1,2014-04,74,2014,03
4,14-04-28,2014,165,CGT-KF Perini 1,C3,          ,1410738   ,1140319,BAT0097        ,IBATI833                      ,IHYG1     ,SELEC,MOTEUR,1,2014-04,74,2014,03
4,14-04-11,2014,165,CGT-KF Perini 1,C3,          ,1410738   ,1140319,BAT0097        ,IBATI833                      ,IHYG1     ,SINST,MECA,2,2014-04,74,2014,03
4,14-04-10,2014,165,CGT-KF Perini 1,C3,          ,1410738   ,1140319,BAT0097        ,IBATI833                      ,IHYG1     ,SINST,MECA,3,2014-04,74,2014,03
7,14-07-11,2014,165,CGT-KF Perini 1,C3,          ,1410883   ,1140321,BAT0097        ,IBATI833                      ,IHYG1     ,SELEC,MOTEUR,1,2014-07,66,2014,03
4,14-04-17,2014,165,CGT-KF Perini 1,C3,          ,1410883-01,1140404,BAT0097        ,IBATI833                      ,IHYG1     ,SELEC,MOTEUR,2,2014-04,74,2014,04
7,14-07-17,2014,290,Plastiques Cascades,C3,          ,1411024   ,1140324,BAT0502        ,PBATI005D                     ,PCHARIOT  ,SINST,MECA,6,2014-07,66,2014,03
7,14-07-16,2014,290,Plastiques Cascades,C3,          ,1411024   ,1140324,BAT0502        ,PBATI005D                     ,PCHARIOT  ,SINST,MECA,4.5,2014-07,66,2014,03
5,14-05-06,2014,102,Cascades ConversionInc.,C3,          ,1411054   ,1140324,M-075-008      ,CBOBI003A                     ,CEXT337   ,SELEC,MOTEUR,2,2014-05,65,2014,03
3,14-03-24,2014,166,CGT-KF Perini 3,C3,          ,1411071-01,1140324,M-060-075      ,IPOMP601                      ,IFAC1     ,SELEC,MOTEUR,2,2014-03,69,2014,03
3,14-03-26,2014,168,CGT-KF Perini 2,C3,          ,1411083   ,1140324,EXT0801        ,IDIST801                      ,IHYG2     ,SELEC,MOTEUR,1,2014-03,69,2014,03
3,14-03-21,2014,168,CGT-KF Perini 2,C3,          ,1411083   ,1140324,EXT0801        ,IDIST801                      ,IHYG2     ,SELEC,MOTEUR,2,2014-03,69,2014,03
3,14-03-20,2014,168,CGT-KF Perini 2,C3,          ,1411083   ,1140324,EXT0801        ,IDIST801                      ,IHYG2     ,SELEC,MOTEUR,4,2014-03,69,2014,03
4,14-04-08,2014,169,CGT-KF Couts communs&Entrepot,C3,          ,1411113   ,1140325,PRE0036        ,IPRES501                      ,IGENC     ,SINST,MECA,2,2014-04,74,2014,03
5,14-05-22,2014,162,Cascades Groupe Tissu KF Mac 2,PA,IPNET006  ,1411520   ,1140325,UHY0014        ,IUHYD202                      ,ILIC2     ,SINST,MECA,2,2014-05,65,2014,03
5,14-05-13,2014,161,Cascades Groupe Tissu KF Mac 1,PA,IPNET006  ,1411521   ,1140325,UHY0027        ,IEXTR101A                     ,ILIC1     ,SINST,MECA,3,2014-05,65,2014,03
5,14-05-13,2014,161,Cascades Groupe Tissu KF Mac 1,PA,IPNET006  ,1411522   ,1140325,UHY0028        ,IEXTR101C/1                   ,ILIC1     ,SINST,MECA,3,2014-05,65,2014,03
5,14-05-12,2014,161,Cascades Groupe Tissu KF Mac 1,PA,IPNET006  ,1411522   ,1140325,UHY0028        ,IEXTR101C/1                   ,ILIC1     ,SINST,MECA,1,2014-05,65,2014,03
6,14-06-17,2014,167,Cascades Groupe Tissu KF Desen,PA,IPNET006  ,1411523   ,1140325,UHY0084        ,IUHYD702                      ,IDESEN    ,SINST,MECA,3,2014-06,67,2014,03
5,14-05-22,2014,162,Cascades Groupe Tissu KF Mac 2,PA,IPNET006  ,1411525   ,1140325,UHY0100        ,IUHYD206                      ,ILIC2     ,SINST,MECA,2,2014-05,65,2014,03
5,14-05-21,2014,162,Cascades Groupe Tissu KF Mac 2,PA,IPNET006  ,1411525   ,1140325,UHY0100        ,IUHYD206                      ,ILIC2     ,SINST,MECA,3,2014-05,65,2014,03
5,14-05-21,2014,162,Cascades Groupe Tissu KF Mac 2,PA,IPNET006  ,1411525   ,1140325,UHY0100        ,IUHYD206                      ,ILIC2     ,SINST,MECA,2,2014-05,65,2014,03
9,14-09-09,2014,163,Cascades Groupe Tissu KF Mac 3,PA,IPNET006  ,1411532   ,1140325,UHY0298        ,IUHYD306                      ,ILIC3     ,SINST,MECA,4,2014-09,33,2014,03
9,14-09-09,2014,163,Cascades Groupe Tissu KF Mac 3,PA,IPNET006  ,1411533   ,1140325,UHY0301        ,IUHYD307                      ,ILIC3     ,SINST,MECA,4,2014-09,33,2014,03
9,14-09-08,2014,163,Cascades Groupe Tissu KF Mac 3,PA,IPNET006  ,1411533   ,1140325,UHY0301        ,IUHYD307                      ,ILIC3     ,SINST,MECA,2,2014-09,33,2014,03
11,14-11-27,2014,162,Cascades Groupe Tissu KF Mac 2,CA,          ,1411918   ,1140326,BAT0028        ,IBATI201                      ,ILIC2     ,SINST,MECA,2,2014-11,8,2014,03
11,14-11-14,2014,162,Cascades Groupe Tissu KF Mac 2,CA,          ,1411918   ,1140326,BAT0028        ,IBATI201                      ,ILIC2     ,SINST,MECA,1,2014-11,8,2014,03
3,14-03-28,2014,102,Cascades ConversionInc.,C3,          ,1411938   ,1140326,CYL0553        ,MMAGA115                      ,SMAGA     ,SINST,MECA,8,2014-03,69,2014,03
6,14-06-13,2014,115,CSA - Magasin,C3,          ,1411939   ,1140326,CYL0934        ,MMAGA115                      ,SMAGA     ,SINST,MECA,1,2014-06,67,2014,03
6,14-06-12,2014,115,CSA - Magasin,C3,          ,1411939   ,1140326,CYL0934        ,MMAGA115                      ,SMAGA     ,SINST,MECA,6,2014-06,67,2014,03
6,14-06-11,2014,115,CSA - Magasin,C3,          ,1411939   ,1140326,CYL0934        ,MMAGA115                      ,SMAGA     ,SINST,MECA,5,2014-06,67,2014,03
6,14-06-11,2014,115,CSA - Magasin,C3,          ,1411939   ,1140326,CYL0934        ,MMAGA115                      ,SMAGA     ,SINST,MECA,1,2014-06,67,2014,03
6,14-06-09,2014,115,CSA - Magasin,C3,          ,1411939   ,1140326,CYL0934        ,MMAGA115                      ,SMAGA     ,SINST,MECA,2,2014-06,67,2014,03
3,14-03-25,2014,115,CSA - Magasin,C3,          ,1411939   ,1140326,CYL0934        ,MMAGA115                      ,SMAGA     ,SINST,MECA,8,2014-03,69,2014,03
3,14-03-24,2014,115,CSA - Magasin,C3,          ,1411939   ,1140326,CYL0934        ,MMAGA115                      ,SMAGA     ,SINST,MECA,2,2014-03,69,2014,03
6,14-06-23,2014,151,Cascades Papier Kingsey Falls,D3,          ,1411962   ,1140326,POM1042        ,KPOMP410                      ,KPUI      ,SELEC,MOTEUR,2,2014-06,67,2014,03
6,14-06-23,2014,151,Cascades Papier Kingsey Falls,D3,          ,1411962   ,1140326,POM1042        ,KPOMP410                      ,KPUI      ,SINST,MECA,1,2014-06,67,2014,03
4,14-04-15,2014,101,Cascades EC - Kingsey Falls,M3,          ,1412021   ,1140327,PRE0012        ,DPRES002                      ,DHUM      ,SINST,MECA,4,2014-04,74,2014,03
4,14-04-14,2014,101,Cascades EC - Kingsey Falls,M3,          ,1412021   ,1140327,PRE0012        ,DPRES002                      ,DHUM      ,SINST,MECA,4,2014-04,74,2014,03
4,14-04-17,2014,101,Cascades EC - Kingsey Falls,CA,ROU0085-2 ,1412030-02,1140328,ROU0085        ,DCALD002                      ,DSEC      ,SINST,MECA,2,2014-04,74,2014,03
4,14-04-17,2014,101,Cascades EC - Kingsey Falls,CA,ROU0709-2 ,1412031   ,1140327,ROU0709        ,DCALD002                      ,DSEC      ,SINST,MECA,2,2014-04,74,2014,03
4,14-04-25,2014,290,Plastiques Cascades,C3,          ,1412047   ,1140327,MDC-300-029    ,PPAST001A                     ,PPAST     ,SELEC,MOTEUR,2,2014-04,74,2014,03
3,14-03-28,2014,290,Plastiques Cascades,C3,          ,1412047   ,1140327,MDC-300-029    ,PPAST001A                     ,PPAST     ,SELEC,MOTEUR,2,2014-03,69,2014,03
3,14-03-24,2014,290,Plastiques Cascades,C3,          ,1412047   ,1140327,MDC-300-029    ,PPAST001A                     ,PPAST     ,SELEC,MOTEUR,2,2014-03,69,2014,03
4,14-04-01,2014,161,Cascades Groupe Tissu KF Mac 1,CA,          ,1412106   ,1140328,DIV0133        ,IDIVR109                      ,ILIC1     ,SINST,MECA,4,2014-04,74,2014,03
4,14-04-29,2014,163,Cascades Groupe Tissu KF Mac 3,CA,          ,1412160   ,1140329,DIV0641        ,IENRL303                      ,ILIC3     ,SINST,MECA,1.5,2014-04,74,2014,03
4,14-04-29,2014,163,Cascades Groupe Tissu KF Mac 3,CA,          ,1412160   ,1140329,DIV0641        ,IENRL303                      ,ILIC3     ,SINST,MECA,0.5,2014-04,74,2014,03
4,14-04-29,2014,163,Cascades Groupe Tissu KF Mac 3,CA,          ,1412160   ,1140329,DIV0641        ,IENRL303                      ,ILIC3     ,SINST,MECA,0.5,2014-04,74,2014,03
4,14-04-30,2014,163,Cascades Groupe Tissu KF Mac 3,CA,          ,1412166   ,1140329,UHY0304        ,IUHYD308                      ,ILIC3     ,SINST,MECA,1,2014-04,74,2014,03
4,14-04-29,2014,163,Cascades Groupe Tissu KF Mac 3,CA,          ,1412166   ,1140329,UHY0304        ,IUHYD308                      ,ILIC3     ,SINST,MECA,2.5,2014-04,74,2014,03
4,14-04-29,2014,163,Cascades Groupe Tissu KF Mac 3,CA,          ,1412166   ,1140329,UHY0304        ,IUHYD308                      ,ILIC3     ,SINST,MECA,0.5,2014-04,74,2014,03
4,14-04-28,2014,163,Cascades Groupe Tissu KF Mac 3,CA,          ,1412166   ,1140329,UHY0304        ,IUHYD308                      ,ILIC3     ,SINST,MECA,2,2014-04,74,2014,03
4,14-04-03,2014,161,Cascades Groupe Tissu KF Mac 1,C3,          ,1412182   ,1140330,ITEM-79509     ,IUHYD104                      ,ILIC1     ,SINST,MECA,4,2014-04,74,2014,03
6,15-06-16,2015,167,Cascades Groupe Tissu KF Desen,CA,          ,1412202   ,1140330,UHY0084        ,IUHYD702                      ,IDESEN    ,SINST,MECA,2,2015-06,11,2014,03
6,15-06-15,2015,167,Cascades Groupe Tissu KF Desen,CA,          ,1412202   ,1140330,UHY0084        ,IUHYD702                      ,IDESEN    ,SINST,MECA,2,2015-06,11,2014,03
12,14-12-11,2014,167,Cascades Groupe Tissu KF Desen,CA,          ,1412202   ,1140330,UHY0084        ,IUHYD702                      ,IDESEN    ,SINST,MECA,5,2014-12,13,2014,03
7,14-07-29,2014,167,Cascades Groupe Tissu KF Desen,CA,          ,1412202   ,1140330,UHY0084        ,IUHYD702                      ,IDESEN    ,SINST,MECA,1,2014-07,66,2014,03
4,14-04-30,2014,167,Cascades Groupe Tissu KF Desen,CA,          ,1412202   ,1140330,UHY0084        ,IUHYD702                      ,IDESEN    ,SINST,MECA,2,2014-04,74,2014,03
